Geneid,sorted.step1.CH8_hisat2_B20_C.bam,sorted.step1.CH36_hisat2_B20_C.bam,sorted.step1.CH64_hisat2_B20_C.bam,sorted.step1.CH5_hisat2_B20_EAB.bam,sorted.step1.CH33_hisat2_B20_EAB.bam,sorted.step1.CH125_hisat2_B20_EAB.bam
FRAEX38873_v2_000001050,0,0,0,0,0,0
FRAEX38873_v2_000001060,0,0,0,0,0,0
FRAEX38873_v2_000001070,170,117,153,188,132,36
FRAEX38873_v2_000001080,66,106,56,97,60,42
FRAEX38873_v2_000001090,483,337,468,585,633,866
FRAEX38873_v2_000001100,169,186,241,345,383,316
FRAEX38873_v2_000013420,136,115,129,152,110,146
FRAEX38873_v2_000013430,53,47,45,24,63,26
FRAEX38873_v2_000013440,1084,645,1079,1222,1006,1405
FRAEX38873_v2_000013450,1385,1614,1519,1679,1584,1503
FRAEX38873_v2_000013460,39,15,40,241,63,183
FRAEX38873_v2_000013470,841,668,949,1298,1138,1220
FRAEX38873_v2_000013480,95,86,39,62,40,54
FRAEX38873_v2_000013490,22,17,13,96,61,18
FRAEX38873_v2_000013520,1535,1045,1099,1377,1298,1159
FRAEX38873_v2_000013530,258,207,241,290,372,399
FRAEX38873_v2_000013540,103,10,43,40,49,50
FRAEX38873_v2_000013550,180,48,107,114,46,90
FRAEX38873_v2_000013560,0,0,0,0,0,0
FRAEX38873_v2_000013570,3,0,0,4,9,7
FRAEX38873_v2_000013580,1562,1600,2165,1951,1695,1680
FRAEX38873_v2_000023060,48,10,127,81,194,240
FRAEX38873_v2_000023070,132,38,29,149,37,284
FRAEX38873_v2_000023080,1050,1664,1035,1890,4648,2163
FRAEX38873_v2_000023090,38,3,1,34,141,351
FRAEX38873_v2_000023100,0,0,0,0,2,0
FRAEX38873_v2_000023110,1530,2186,387,833,933,370
FRAEX38873_v2_000023120,844,735,1028,734,635,612
FRAEX38873_v2_000023130,1425,3338,4622,7869,7259,8236
FRAEX38873_v2_000023140,53,133,133,97,59,289
FRAEX38873_v2_000023150,0,0,0,0,0,0
FRAEX38873_v2_000023160,779,808,1095,899,1410,1513
FRAEX38873_v2_000023170,4,12,54,13,0,5
FRAEX38873_v2_000023180,0,0,0,0,0,0
FRAEX38873_v2_000023190,5042,4716,13718,4119,1577,2823
FRAEX38873_v2_000023200,1739,1735,2052,2293,3665,2434
FRAEX38873_v2_000023210,0,0,0,0,0,0
FRAEX38873_v2_000032170,257,667,632,4198,2340,2621
FRAEX38873_v2_000032180,45,3,14,35,23,59
FRAEX38873_v2_000032190,737,552,919,692,514,560
FRAEX38873_v2_000032200,402,330,441,294,294,288
FRAEX38873_v2_000032210,1,2,2,4,0,4
FRAEX38873_v2_000032220,2,0,2,2,7,2
FRAEX38873_v2_000032230,0,0,0,0,0,0
FRAEX38873_v2_000032240,0,0,0,5,10,3
FRAEX38873_v2_000032250,0,0,0,0,4,0
FRAEX38873_v2_000400930,21,98,13,52,70,55
FRAEX38873_v2_000400940,15,32,17,10,27,14
FRAEX38873_v2_000400950,3,17,3,5,26,29
FRAEX38873_v2_000400960,0,0,0,0,0,0
FRAEX38873_v2_000400970,7,12,5,14,25,16
FRAEX38873_v2_000042390,0,0,0,0,0,0
FRAEX38873_v2_000042400,6,0,0,5,16,8
FRAEX38873_v2_000042410,111,176,163,180,198,196
FRAEX38873_v2_000042420,0,0,0,0,4,1
FRAEX38873_v2_000042430,270,269,261,329,294,310
FRAEX38873_v2_000042440,1850,1232,1554,1604,923,2081
FRAEX38873_v2_000042450,0,0,0,0,0,0
FRAEX38873_v2_000042460,14,3,6,0,8,0
FRAEX38873_v2_000042470,61,68,52,64,89,74
FRAEX38873_v2_000042480,4198,4076,4327,4653,6165,5207
FRAEX38873_v2_000042490,29,98,140,212,125,192
FRAEX38873_v2_000042500,1705,1392,2025,1424,1358,1416
FRAEX38873_v2_000042510,123,142,27,102,146,95
FRAEX38873_v2_000042520,580,420,806,748,619,844
FRAEX38873_v2_000042530,1098,875,1015,1392,2414,2851
FRAEX38873_v2_000042540,309,329,372,247,227,261
FRAEX38873_v2_000042550,2409,3361,4224,3495,3408,3827
FRAEX38873_v2_000042560,107,79,94,342,210,254
FRAEX38873_v2_000042570,437,399,379,873,1295,1172
FRAEX38873_v2_000042580,318,388,468,317,454,426
