Geneid;sorted.step1.CH100_B8_C_hisat2.bam;sorted.step1.CH16_B8_C_hisat2.bam;sorted.step1.CH44_B8_C_hisat2.bam;sorted.step1.CH13_B8_EAB_hisat2.bam;sorted.step1.CH41_B8_EAB_hisat2.bam;sorted.step1.CH97_B8_EAB_hisat2.bam
FRAEX38873_v2_000354040;483;474;537;866;903;1028
FRAEX38873_v2_000354050;0;0;0;0;0;0
FRAEX38873_v2_000354060;0;5;0;2;13;16
FRAEX38873_v2_000354070;0;0;0;0;0;0
FRAEX38873_v2_000354080;135;132;296;216;192;197
FRAEX38873_v2_000354090;0;20;23;23;30;18
FRAEX38873_v2_000354100;745;631;703;841;863;988
FRAEX38873_v2_000354110;69;235;287;110;90;112
FRAEX38873_v2_000354120;132;30;11;6;5;1
FRAEX38873_v2_000354130;198;473;698;905;332;1021
FRAEX38873_v2_000354140;66;58;111;190;177;135
FRAEX38873_v2_000401300;106;2;34;13;44;26
FRAEX38873_v2_000401310;94;47;28;33;58;9
FRAEX38873_v2_000401320;49;32;15;5;39;14
FRAEX38873_v2_000401330;2;1;2;12;7;7
FRAEX38873_v2_000380270;64;59;34;51;123;9
FRAEX38873_v2_000380280;0;0;0;0;0;0
FRAEX38873_v2_000380290;25;9;14;21;24;0
FRAEX38873_v2_000380300;32;16;22;322;396;232
FRAEX38873_v2_000380310;124;102;152;92;114;154
FRAEX38873_v2_000380320;19;15;13;50;64;27
FRAEX38873_v2_000380330;6284;5753;6862;4884;4671;5568
FRAEX38873_v2_000380340;0;0;0;0;0;0
FRAEX38873_v2_000380350;270;84;179;56;74;55
FRAEX38873_v2_000380360;5315;4540;5819;1412;1828;1779
FRAEX38873_v2_000380370;368;448;546;471;587;708
FRAEX38873_v2_000380380;494;751;752;474;693;600
FRAEX38873_v2_000380390;3270;4063;3969;4063;3481;3444
FRAEX38873_v2_000380400;2969;4492;5459;21159;12928;19950
FRAEX38873_v2_000380410;15;19;56;176;127;164
FRAEX38873_v2_000380430;1815;2330;2731;1385;1540;1524
FRAEX38873_v2_000380450;0;0;0;0;0;0
FRAEX38873_v2_000000910;215;217;247;439;348;446
FRAEX38873_v2_000000920;336;436;135;26;8;22
FRAEX38873_v2_000000930;1159;1215;1279;764;1348;1317
FRAEX38873_v2_000000940;53;57;23;43;144;45
FRAEX38873_v2_000000950;4132;5305;5996;7855;6310;7505
FRAEX38873_v2_000000960;0;0;0;0;0;0
FRAEX38873_v2_000000970;15;2;17;2;2;0
FRAEX38873_v2_000000980;475;591;672;1336;1298;1119
FRAEX38873_v2_000000990;18;18;42;242;128;230
FRAEX38873_v2_000001000;13;0;4;31;29;56
FRAEX38873_v2_000001010;535;487;537;617;723;642
FRAEX38873_v2_000001020;67;72;204;154;141;121
FRAEX38873_v2_000001030;8;33;30;3;0;19
FRAEX38873_v2_000001040;103;132;155;48;75;88
FRAEX38873_v2_000001050;0;0;0;10;0;0
FRAEX38873_v2_000001060;0;0;0;0;0;18
FRAEX38873_v2_000001070;537;376;579;184;220;191
FRAEX38873_v2_000001080;93;92;203;117;112;65
FRAEX38873_v2_000001090;510;468;659;1138;918;1116
FRAEX38873_v2_000001100;101;198;243;617;525;508
FRAEX38873_v2_000013420;27;17;17;33;28;74
FRAEX38873_v2_000013430;97;5;13;43;20;49
FRAEX38873_v2_000013440;664;834;1334;906;796;1009
FRAEX38873_v2_000013450;1104;1631;1788;1288;1739;1530
FRAEX38873_v2_000013460;26;19;14;602;312;366
FRAEX38873_v2_000013470;605;784;1138;1257;1373;1532
FRAEX38873_v2_000013480;112;72;33;29;35;32
FRAEX38873_v2_000013490;57;42;60;83;58;23
FRAEX38873_v2_000013520;1108;1359;1714;885;820;685
FRAEX38873_v2_000013530;184;308;327;426;271;409
FRAEX38873_v2_000013540;0;0;0;0;0;0
FRAEX38873_v2_000013550;25;0;14;27;18;21
FRAEX38873_v2_000013560;0;0;0;0;3;0
FRAEX38873_v2_000013570;7;2;0;12;0;11
FRAEX38873_v2_000013580;1476;1599;1811;1355;1881;1954
FRAEX38873_v2_000023060;41;39;114;333;196;301
FRAEX38873_v2_000023070;316;512;306;27;35;39
FRAEX38873_v2_000023080;3610;3116;2935;4194;4839;7148
FRAEX38873_v2_000023090;68;74;60;1;3;31
FRAEX38873_v2_000023100;0;0;0;3;0;172
FRAEX38873_v2_000023110;2371;1743;2431;238;818;74
FRAEX38873_v2_000023120;797;670;1139;603;658;831
FRAEX38873_v2_000023130;1528;2393;2702;3878;12489;9882
FRAEX38873_v2_000023140;24;43;62;143;274;247
